CRAT,CSNATer
CRAT,CSNATm
CRAT,CSNATp
ECI1,DCIm
OLAH,FA120ACPHi
OLAH,FA140ACPHi
OLAH,FA141ACPHi
OLAH,FA160ACPHi
OLAH,FA161ACPHi
OLAH,FA180ACPH
OLAH,FA181ACPH
OLAH,FA182ACPH
ALDH1L1,FDH
LCAT,LCAT1e
MLYCD,MCD
MLYCD,MCDm
MLYCD,MCDp
FASN,MCOATA
MCAT,MCOATAm
ACOT8,PTE2x
ACOT2,PTE2x
ACOT2,PTE3x
ACOT2,PTE4x
ACOT2,PTE5x
ACOX1,ACOAO7p
LIPC,LPS2e
LIPC,LPS3e
ETFB,ETF
ETFA,ETF
ACADM,FAOXC11
ACADS,FAOXC140
ACADM,FAOXC140
ACADS,FAOXC150m
ACADM,FAOXC150m
ACADS,FAOXC160
ACADM,FAOXC160
ACADS,FAOXC16080m
ACADM,FAOXC16080m
ACADS,FAOXC16180m
ACADM,FAOXC16180m
ACADM,FAOXC170m
ACADS,FAOXC180
ACADM,FAOXC180
ACADS,FAOXC1811601m
ACADM,FAOXC1811601m
ACADS,FAOXC1811602m
ACADM,FAOXC1811602m
ACADS,FAOXC1811603m
ACADM,FAOXC1811603m
ACADS,FAOXC182806m
ACADM,FAOXC182806m
ACADS,FAOXC18280m
ACADM,FAOXC18280m
ACADS,FAOXC183803m
ACADM,FAOXC183803m
ACADS,FAOXC183806m
ACADM,FAOXC183806m
ACADS,FAOXC18480m
ACADM,FAOXC18480m
ACADS,FAOXC200180m
ACADM,FAOXC200180m
ACADS,FAOXC2031836m
ACADM,FAOXC2031836m
ACADS,FAOXC204
ACADM,FAOXC204
ACADS,FAOXC204184m
ACADM,FAOXC204184m
ACADS,FAOXC2051843m
ACADM,FAOXC2051843m
ACADS,FAOXC2242046m
ACADM,FAOXC2242046m
ACADS,FAOXC2251836m
ACADM,FAOXC2251836m
ACADS,FAOXC2252053m
ACADM,FAOXC2252053m
ACADS,FAOXC226
ACADM,FAOXC226
ACADS,FAOXC226205m
ACADM,FAOXC226205m
ACADS,FAOXC80
ACADM,FAOXC80
ETFDH,ETFQO
HSD17B4,FAOXC16080x
ACAA1,FAOXC16080x
ACOX1,FAOXC16080x
TUBA8,FAOXC16080x
HSD17B4,FAOXC180x
ACAA1,FAOXC180x
ACOX1,FAOXC180x
TUBA8,FAOXC180x
HSD17B4,FAOXC183806x
ACAA1,FAOXC183806x
ACOX1,FAOXC183806x
TUBA8,FAOXC183806x
HSD17B4,FAOXC18480x
ACAA1,FAOXC18480x
ACOX1,FAOXC18480x
TUBA8,FAOXC18480x
HSD17B4,FAOXC200180x
ACAA1,FAOXC200180x
ACOX1,FAOXC200180x
TUBA8,FAOXC200180x
HSD17B4,FAOXC2051843x
ACAA1,FAOXC2051843x
ACOX1,FAOXC2051843x
TUBA8,FAOXC2051843x
HSD17B4,FAOXC2242046x
ACAA1,FAOXC2242046x
ACOX1,FAOXC2242046x
TUBA8,FAOXC2242046x
HSD17B4,FAOXC2251836x
ACAA1,FAOXC2251836x
ACOX1,FAOXC2251836x
TUBA8,FAOXC2251836x
HSD17B4,FAOXC2252053x
ACAA1,FAOXC2252053x
ACOX1,FAOXC2252053x
TUBA8,FAOXC2252053x
HSD17B4,FAOXC226205x
ACAA1,FAOXC226205x
ACOX1,FAOXC226205x
TUBA8,FAOXC226205x
HSD17B4,FAOXC240200x
ACAA1,FAOXC240200x
ACOX1,FAOXC240200x
TUBA8,FAOXC240200x
HSD17B4,FAOXC241181x
ACAA1,FAOXC241181x
ACOX1,FAOXC241181x
TUBA8,FAOXC241181x
HSD17B4,FAOXC2442246x
ACAA1,FAOXC2442246x
ACOX1,FAOXC2442246x
TUBA8,FAOXC2442246x
HSD17B4,FAOXC2452253x
ACAA1,FAOXC2452253x
ACOX1,FAOXC2452253x
TUBA8,FAOXC2452253x
HSD17B4,FAOXC2452256x
ACAA1,FAOXC2452256x
ACOX1,FAOXC2452256x
TUBA8,FAOXC2452256x
HSD17B4,FAOXC246226x
ACAA1,FAOXC246226x
ACOX1,FAOXC246226x
TUBA8,FAOXC246226x
HSD17B4,FAOXC260240x
ACAA1,FAOXC260240x
ACOX1,FAOXC260240x
TUBA8,FAOXC260240x
HSD17B4,PEROXx
ACAA1,PEROXx
ACOX3,PEROXx
TUBA8,PEROXx
PHYH,PHYHx
DHFR,DHFR
DHFR,FOLR2
MTHFS,FTHFCL
ALDH1L1,FTHFDH
MTHFD1,FTHFLi
GGH,GGH_10FTHF5GLUe
GGH,GGH_10FTHF5GLUl
GGH,GGH_10FTHF6GLUe
GGH,GGH_10FTHF6GLUl
GGH,GGH_10FTHF7GLUe
GGH,GGH_10FTHF7GLUl
GGH,GGH_5DHFe
GGH,GGH_5DHFl
GGH,GGH_5THFe
GGH,GGH_5THFl
GGH,GGH_6DHFe
GGH,GGH_6DHFl
GGH,GGH_6THFe
GGH,GGH_6THFl
GGH,GGH_7DHFe
GGH,GGH_7DHFl
GGH,GGH_7THFe
GGH,GGH_7THFl
MTHFD1,MTHFC
MTHFD2,MTHFCm
MTHFD1L,MTHFCm
MTHFD1,MTHFD
MTHFD2,MTHFD2m
MTHFD2,MTHFDm
MTHFD1L,MTHFDm
FPGS,FPGS
FPGS,FPGS2
FPGS,FPGS2m
FPGS,FPGS3
FPGS,FPGS3m
FPGS,FPGS4
FPGS,FPGS4m
FPGS,FPGS5
FPGS,FPGS5m
FPGS,FPGS6
FPGS,FPGS6m
FPGS,FPGS7
FPGS,FPGS7m
FPGS,FPGS8
FPGS,FPGS8m
FPGS,FPGS9
FPGS,FPGS9m
